train,val,test
normal_001,normal_049,test_104
normal_002,normal_041,test_083
normal_003,normal_042,test_096
normal_004,normal_137,test_094
normal_005,normal_073,test_084
normal_006,normal_028,test_106
normal_007,normal_157,test_079
normal_008,normal_153,test_109
normal_009,normal_063,test_057
normal_012,normal_104,test_012
normal_013,normal_155,test_053
normal_014,normal_044,test_121
normal_015,normal_010,test_038
normal_016,normal_141,test_046
normal_017,normal_140,test_098
normal_018,normal_147,test_009
normal_019,tumor_018,test_125
normal_021,tumor_016,test_007
normal_022,tumor_005,test_089
normal_023,tumor_090,test_054
normal_024,tumor_023,test_036
normal_025,tumor_088,test_043
normal_026,tumor_073,test_017
normal_027,tumor_045,test_016
normal_029,tumor_062,test_033
normal_030,tumor_037,test_061
normal_031,tumor_003,test_058
normal_032,,test_095
normal_033,,test_014
normal_035,,test_110
normal_036,,test_031
normal_037,,test_003
normal_038,,test_059
normal_039,,test_117
normal_040,,test_047
normal_043,,test_082
normal_045,,test_093
normal_047,,test_091
normal_048,,test_029
normal_050,,test_019
normal_051,,test_072
normal_052,,test_122
normal_053,,test_006
normal_054,,test_052
normal_055,,test_076
normal_057,,test_103
normal_059,,test_028
normal_060,,test_086
normal_061,,test_090
normal_062,,test_074
normal_064,,test_099
normal_065,,test_129
normal_066,,test_070
normal_067,,test_008
normal_068,,test_105
normal_069,,test_119
normal_070,,test_035
normal_071,,test_037
normal_072,,test_002
normal_074,,test_024
normal_075,,test_018
normal_076,,test_060
normal_077,,test_078
normal_078,,test_034
normal_079,,test_023
normal_080,,test_127
normal_081,,test_001
normal_082,,test_004
normal_084,,test_042
normal_085,,test_075
normal_087,,test_066
normal_088,,test_118
normal_089,,test_056
normal_090,,test_116
normal_091,,test_015
normal_092,,test_048
normal_093,,test_071
normal_094,,test_051
normal_095,,test_067
normal_099,,test_100
normal_100,,test_114
normal_101,,test_097
normal_102,,test_081
normal_103,,test_032
normal_105,,test_092
normal_106,,test_108
normal_107,,test_062
normal_108,,test_120
normal_109,,test_073
normal_111,,test_102
normal_112,,test_045
normal_113,,test_128
normal_115,,test_011
normal_116,,test_085
normal_117,,test_064
normal_118,,test_010
normal_119,,test_055
normal_120,,test_101
normal_122,,test_130
normal_123,,test_005
normal_124,,test_025
normal_125,,test_107
normal_126,,test_087
normal_127,,test_020
normal_128,,test_068
normal_129,,test_080
normal_131,,test_040
normal_132,,test_069
normal_133,,test_123
normal_134,,test_041
normal_136,,test_021
normal_138,,test_065
normal_139,,test_111
normal_142,,test_022
normal_143,,test_027
normal_144,,test_077
normal_145,,test_126
normal_146,,test_063
normal_148,,test_113
normal_149,,test_039
normal_150,,test_026
normal_151,,test_044
normal_152,,test_112
normal_154,,test_115
normal_156,,test_124
normal_158,,test_013
normal_160,,test_050
tumor_001,,test_030
tumor_002,,test_088
tumor_004,,
tumor_006,,
tumor_007,,
tumor_008,,
tumor_009,,
tumor_010,,
tumor_011,,
tumor_012,,
tumor_013,,
tumor_014,,
tumor_015,,
tumor_017,,
tumor_019,,
tumor_020,,
tumor_021,,
tumor_024,,
tumor_025,,
tumor_026,,
tumor_027,,
tumor_028,,
tumor_029,,
tumor_030,,
tumor_031,,
tumor_032,,
tumor_033,,
tumor_034,,
tumor_035,,
tumor_036,,
tumor_038,,
tumor_041,,
tumor_042,,
tumor_043,,
tumor_044,,
tumor_046,,
tumor_047,,
tumor_048,,
tumor_049,,
tumor_050,,
tumor_051,,
tumor_052,,
tumor_053,,
tumor_054,,
tumor_055,,
tumor_056,,
tumor_057,,
tumor_058,,
tumor_059,,
tumor_060,,
tumor_061,,
tumor_063,,
tumor_064,,
tumor_065,,
tumor_067,,
tumor_068,,
tumor_070,,
tumor_071,,
tumor_072,,
tumor_075,,
tumor_076,,
tumor_077,,
tumor_078,,
tumor_079,,
tumor_080,,
tumor_081,,
tumor_082,,
tumor_083,,
tumor_084,,
tumor_085,,
tumor_086,,
tumor_087,,
tumor_089,,
tumor_092,,
tumor_093,,
tumor_095,,
tumor_097,,
tumor_098,,
tumor_099,,
tumor_100,,
tumor_101,,
tumor_102,,
tumor_103,,
tumor_104,,
tumor_106,,
tumor_107,,
tumor_108,,
tumor_109,,
tumor_110,,
normal_098,,
normal_056,,
normal_083,,
normal_121,,
normal_130,,
normal_159,,
normal_046,,
normal_034,,
normal_096,,
normal_011,,
normal_135,,
normal_020,,
normal_114,,
normal_110,,
normal_097,,
normal_058,,
tumor_111,,
tumor_039,,
tumor_091,,
tumor_069,,
tumor_096,,
tumor_105,,
tumor_094,,
tumor_022,,
tumor_040,,
tumor_066,,
tumor_074,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
